,Contractions,Without
0,isn't,is not
1,hasn't,has not
2,hadn't,had not
3,didn't,did not
4,wouldn't,would not
5,can't,can not
6,she's,she is
7,there's,there is
8,he's,he is
9,it's,it is
10,who's,who is
11,I'm,I am
12,I'll,I will
13,you'll,you will
14,she'll,she will
15,we'll,we will
16,they'll,they will
17,I'd,I would
18,you'd,you would
19,he'd,he would
20,we'd,we would
21,they'd,they would
22,I've,I have
23,you've,you have
24,we've,we have
25,they've,they have
26,you're,you are
27,they're,they are
28,we're,we are
29,aren't,are not
30,couldn't,could not
31,could've,could have
32,doesn't,does not
33,don't,do not
34,e'er,ever
35,hasn't,has not
36,haven't,have not
37,he'll,he will
38,I'd,I had
39,I'm,I am
40,isn't,is not
41,it'd,it would
42,it'll,it shall
43,let's,let us
44,ma'am,madam
45,mightn't,might not
46,might've,might have
47,mustn't,must not
48,must've,must have
49,'n',and
50,needn't,need not
51,ne'er,never
52,o'er,over
53,ol',old
54,oughtn't,ought not
55,shan't,shall not
56,she'd,she had
57,she's,she is
58,shouldn't,should not
59,should've,should have
60,that'd,that would
61,that's,that is
62,there'd,there had
63,there'll,there shall
64,they'd,they had
65,they're,they are
66,'twas,it was
67,wasn't,was not
68,we'll,we will
69,we've,we have
70,weren't,were not
71,what'll,what will
72,what're,what are
73,what's,what is
74,what've,what have
75,where'd,where did
76,where's,where is
77,who'd,who had
78,who'll,who will
79,who've,who have
80,why'd,why did
81,won't,will not
82,would've,would have
83,you'll,you will
84,you've,you have
